fixedX,fixedY,alignmentX,alignmentY
3825.2331516435515,32571.933834981188,22746.38544974659,16296.372508193963
3806.5952779438403,32639.438106941947,22754.727146349403,16269.037045165293
12740.594694068239,28993.293165229625,18940.39435078537,17820.08598540727
37675.542422199534,3521.6836156845884,8319.729894475251,28681.081846617937
31946.272489994386,6439.2153172944045,10731.379774325433,27438.073408235032
33023.452995364285,7651.263911061389,10272.826732637448,26919.234408439934
32954.81849789402,7778.048176512637,10300.68415721527,26865.82907864775
40662.603364794624,23093.40775179602,7017.139626562977,20323.289821695063
45089.708423194315,22169.23234649942,5129.161583464953,20715.554884369983
46511.92237544233,6175.983930437669,4513.768791530405,27542.962106185005
