,sample_id,group,scNiche,annotations_level1,annotations_level2,annotations_level3
BI5XO_A1_aaaajmod-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaabldgc-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaacdpnm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BI5XO_A1_aaadacee-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaaekjjd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaagbhjb-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaagmbki-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaaheagk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaamncop-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaaopnkj-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aabdcfam-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aabepmfl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aabhbcoo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aabhmlmd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aabnamoj-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aabppcjm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aacechpb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aacfdcji-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aacgdopp-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aackifjb-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-IFN
BI5XO_A1_aaclegjc-1,BI5XO_A1,bright,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aadedegi-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-SA
BI5XO_A1_aadehokm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aadeoddm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BI5XO_A1_aadgmohk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aadnhbdg-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaebpnno-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaecdgml-1,BI5XO_A1,bright,Niche2,Endothelial,VEC-endocardial,VEC-endocardial
BI5XO_A1_aaeebecf-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaehalom-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aaehmghc-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aaendcil-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaenmkaa-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaeoahfm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaeoknkl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaeonjbg-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aafhmbkj-1,BI5XO_A1,bright,Niche2,Mononuclear phagocyte,cycling,MP-cycling
BI5XO_A1_aafkkogg-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aafngfmd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aagbkkhk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aagbndnp-1,BI5XO_A1,bright,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aagcehhk-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-mono,MP-mono-classical
BI5XO_A1_aagfgffj-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_aahadnpf-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-SMC,VIC-pericyte
BI5XO_A1_aahbihic-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaheineo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaheinil-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aahfopmc-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aahlbfio-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aahmbpfl-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aahnckli-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aahojilm-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BI5XO_A1_aahpjdbc-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aaiahcih-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BI5XO_A1_aaiakjea-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaicgjpj-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaickehj-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aaicpifm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaifeggh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaifmoii-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaihpkgo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaiigkfp-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_aaijkoma-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaiknfnk-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aaikoamo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aailiehe-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aaipcjmd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aajbgpmo-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aajconhf-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aajeabmn-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aajejecp-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aajekleh-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aajhankb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aajhcjon-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aajiaoji-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aajidlgd-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aajjnjoi-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aajmgpec-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aajnbgnj-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aajofmem-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aajojnia-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aajpbdog-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aakbcmea-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aakbgplg-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aakcbebo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aakdjckb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aakdjhgd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aakdklnn-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aakdnhpi-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aakhoadd-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aakidmbe-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aakojlff-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aakpooef-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aalcfhod-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaldicfp-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aalehoac-1,BI5XO_A1,bright,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aalepdng-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaljkmjm-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aalnopef-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aalolggj-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aalpikpa-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aamaomah-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aamcfoah-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aamcpmjn-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aamefpkb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aamemhgl-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aamgjnhn-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aamhkcho-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aamhnldb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aamiceof-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aamijdmn-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aamiohpb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aamjccgd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aamlclol-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aamlgkhb-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aamlohjn-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aamnklfi-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aanajphp-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aanefgik-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aanfbaan-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BI5XO_A1_aanfijcn-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aanfmaaf-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_aanfmagc-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_aangmijo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aangplek-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-IFN
BI5XO_A1_aanpfggf-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-osteogenic
BI5XO_A1_aanpjlhc-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaoajmch-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aaocdpah-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaoebigd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaofjeho-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaofnoei-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaogbang-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaoidimp-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaojoino-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aaokmmbo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_aaolanln-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aaonpmja-1,BI5XO_A1,bright,Niche2,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aapalmdo-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aapflepn-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aapgnmoe-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aapgpkno-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_aapigmbd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_aaplgojn-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_aapnmhmn-1,BI5XO_A1,bright,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_ababllpd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-IFN,VIC-IFN
BI5XO_A1_abadkpea-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-IFN,VIC-IFN
BI5XO_A1_abaflilk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_aballoeb-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BI5XO_A1_abbacpgh-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_abbbkpah-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_abbeidge-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abbeifli-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_abbldlno-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_abbmmkeo-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BI5XO_A1_abbocmop-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-arterial
BI5XO_A1_abbomdaf-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_abbplcie-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-venous
BI5XO_A1_abcaeppm-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-venous
BI5XO_A1_abcanmgk-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-capillary
BI5XO_A1_abcbdbpk-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_abcfmpeo-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_abcgoaee-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abcjlffn-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_abcjlmkk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_abckohgn-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abcljknk-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_abcmbgeh-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-capillary
BI5XO_A1_abcmpflb-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abcnfana-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_abcockmd-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abcodmii-1,BI5XO_A1,bright,Niche3,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_abcokigl-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-endocardial,VEC-endocardial
BI5XO_A1_abdakibc-1,BI5XO_A1,bright,Niche3,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_abdbddbf-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BI5XO_A1_abdcigfj-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_abdcodgk-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-venous
BI5XO_A1_abddkelh-1,BI5XO_A1,bright,Niche1,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_abdejhbp-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_abdfidja-1,BI5XO_A1,bright,Niche1,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_abdflbne-1,BI5XO_A1,bright,Niche3,Mononuclear phagocyte,MP-mono,MP-mono-nonclassical
BI5XO_A1_abdfljjo-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_abdhmjcg-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_abdikofm-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_abdkbjem-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-venous
BI5XO_A1_abdkhpoe-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_abdmcmkb-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abdnggoj-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abdnobdg-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_abdopmfp-1,BI5XO_A1,bright,Niche3,Mononuclear phagocyte,MP-mono,MP-mono-nonclassical
BI5XO_A1_abdpfhfl-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_abecadpi-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-SMC,VIC-SMC
BI5XO_A1_abeglcpj-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-arterial
BI5XO_A1_abeignfa-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_abejjged-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_abekmnoh-1,BI5XO_A1,bright,Niche3,Endothelial,VEC-vascular,VEC-venous
BI5XO_A1_abelcepk-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_abepgofl-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-IFN,VIC-IFN
BI5XO_A1_abfabhbh-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-remodelling
BI5XO_A1_abfacbbp-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_abfbabjn-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_abfbmomi-1,BI5XO_A1,bright,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abfdlodb-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_abfenaij-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abffclgf-1,BI5XO_A1,bright,Niche3,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_abfgkhmh-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abfhioan-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_abfihoae-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_abfkbfhm-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_abflcnek-1,BI5XO_A1,bright,Niche3,B cell,plasma,plasma
BI5XO_A1_abfnggkc-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abfoflhd-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abfpiibn-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-transitional,VIC-transitional
BI5XO_A1_abgejdgo-1,BI5XO_A1,bright,Niche1,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BI5XO_A1_abgemmpm-1,BI5XO_A1,bright,Niche3,Valvular interstitial cell,VIC-interstitial,VIC-neural-crest
BI5XO_A1_abggmpjd-1,BI5XO_A1,bright,Niche3,Mononuclear phagocyte,MP-macro,MP-macro-res
BI5XO_A1_abghjlak-1,BI5XO_A1,bright,Niche3,Mononuclear phagocyte,MP-macro,MP-macro-res
