,sample_id,group,scNiche,annotations_level1,annotations_level2,annotations_level3
BXNFB_C1_aldmkefa-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_alekdnkg-1,BXNFB_C1,dim,Niche1,T cell,T-CD4,T-CD4-Th1
BXNFB_C1_alephhcg-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-interstitial,VIC-interstitial
BXNFB_C1_alfboolf-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_alfmecep-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_algahmcn-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_algdihjj-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_algjnckf-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_aligifai-1,BXNFB_C1,dim,Niche3,T cell,T-CD4,T-CD4-EM
BXNFB_C1_aligjnlp-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_alihfhka-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_alikgeki-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_aljdefid-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_aljfdlfn-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_aljgbkhi-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_aljgomgm-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_aljihnhh-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_aljncnkj-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_alkbcbfo-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_alkcdkid-1,BXNFB_C1,dim,Niche2,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_alkdogbo-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_alkecapc-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_alkegole-1,BXNFB_C1,dim,Niche2,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_alkofjdb-1,BXNFB_C1,dim,Niche0,NK cell,NK,NK-CD56-bright
BXNFB_C1_allbnagk-1,BXNFB_C1,dim,Niche3,T cell,T-CD4,T-CD4-Th1
BXNFB_C1_allfgmkn-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_allobmmf-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_allpfdoe-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-SA
BXNFB_C1_almdjjoe-1,BXNFB_C1,dim,Niche2,T cell,T-CD8,T-CD8-MAIT
BXNFB_C1_almdmgge-1,BXNFB_C1,dim,Niche1,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_almgalek-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_almjojdi-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_almkgfpi-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-osteoclast
BXNFB_C1_almmbnob-1,BXNFB_C1,dim,Niche2,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_almndohl-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-IFN,VIC-IFN
BXNFB_C1_alnagcbg-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_alngdmhc-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_alnjkmop-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_alnjllia-1,BXNFB_C1,dim,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_alnoalib-1,BXNFB_C1,dim,Niche0,B cell,B,B-naive
BXNFB_C1_alnpdhbp-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_alohonkb-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-IFN,VIC-IFN
BXNFB_C1_aloijlaf-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_alomdjed-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_aloobpkl-1,BXNFB_C1,dim,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_alopameh-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_alopdbna-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_alpankip-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_alpdfcpn-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_alpfacpk-1,BXNFB_C1,dim,Niche1,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_alpfnaed-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_alpoemno-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
BXNFB_C1_amadhoff-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,cycling,VIC-cycling
BXNFB_C1_amafebdp-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_ambcbjbi-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_ambifijc-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_ambjhdho-1,BXNFB_C1,dim,Niche0,Mononuclear phagocyte,MP-macro,MP-macro-res
BXNFB_C1_amcclgfd-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amceopoa-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amcfmgfg-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-transitional,VIC-transitional
BXNFB_C1_amchpfmm-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_amcibcod-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amcilkno-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-SMC,VIC-SMC
BXNFB_C1_amcmckak-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amcncpad-1,BXNFB_C1,dim,Niche0,Valvular interstitial cell,VIC-osteogenic,VIC-fibrochondrogenic
BXNFB_C1_amcokcia-1,BXNFB_C1,dim,Niche1,Valvular interstitial cell,VIC-quiescent,VIC-quiescent
