,0,1
0,15730.434624601137,32828.62979306716
1,-1135.3411741180907,2093.1277464790683
2,-3262.2583464800155,2964.949349032547
3,-2281.8343448635246,3610.7785087648585
4,1353.7880980824348,6286.84630432757
5,6916.827151305574,20394.040489524046
6,3948.8884998391895,14955.629948060123
7,-1104.448646289819,-3255.4341308848766
8,-5820.573082815269,4086.6887982089456
9,-261.23806227992924,11744.541766828808
10,-2200.4658213746434,1936.6681612063094
11,2180.6312056065176,8929.610202482292
12,9154.486806675224,22921.48463197217
13,-2442.348313136772,4142.093727101717
14,303.06537808507557,13463.828357231987
15,10990.640237981836,25248.639644743533
16,-2255.1954696050593,-3107.203612652475
17,-1918.8336947359016,-3347.250189158894
18,-5841.804209382091,6372.309242657941
19,5409.881189326026,14858.017491756658
20,998.631084822478,14746.157323420977
21,-3400.5825442539017,-754.8606532274729
22,7903.590032953383,20050.543835423752
23,-4590.816939840767,3034.7433376368335
24,5639.668872483292,17665.12097246024
25,-1992.8240562825572,6180.4551599081815
26,-1075.3779074384718,17122.766031597257
27,2310.740188199431,13521.5832932963
28,-2064.408762881454,2250.617222294164
29,-1751.5710819239393,710.6022999561318
30,-10366.662350482457,8999.57654623718
31,7400.1415148647,19768.471413307012
32,-2708.248340669713,3743.2513235789197
33,-5209.468981430116,130.519499486243
34,-2679.349029013459,11514.723188408956
35,3639.1024014121977,7240.92947613086
36,-2466.192377559171,6087.829790619754
37,-8809.911888097313,4677.824301768027
38,-4349.165517426996,3737.3846932215292
39,739.4571994587872,8006.636185532924
40,-15879.513040186439,9185.457531597238
41,-16373.068024625005,10652.657154444283
42,-638.6403691199806,5585.846726635542
43,-10852.714066094924,7122.124569528884
44,2223.950867272099,7996.82754155911
45,3017.8931555405125,17233.561340045297
46,-1941.815465232259,3870.4729475421004
47,-18048.00450153524,11389.965065769995
48,8977.935438663002,22955.446920702816
49,87.46658138944227,7412.415728847953
50,-10143.688708011321,9165.592829279074
51,5879.102389357797,-7761.017647940084
52,-4199.836907293417,8691.690008263158
53,8317.401904468847,20050.350101692875
54,-4226.407664703955,4707.63852163783
55,-14648.36577242664,9740.3488442451
56,-2644.29076553383,6534.835612893179
57,-13834.78769217507,7474.657718077625
58,299.5135096120922,-5861.1423310306245
59,-2054.0626382362357,-6527.003012270793
60,10082.222139356609,24229.5394710613
61,-2234.2649326581313,6011.272826161793
62,10.07967686827034,4641.473843124098
63,218.02492140707278,-6107.8020101927395
64,-18725.20467610636,11837.543689362905
65,1709.7309308094414,10129.635478938675
66,1362.2611776661115,-9138.137899334166
67,-10592.94090036605,7459.818798135483
68,-17167.374991571578,11895.413338498827
69,-16896.763172696657,10927.558714658593
70,-15383.261809479738,10764.375222071474
71,3872.606312373565,10279.914505578246
72,5492.8045649447295,17742.119118906536
73,-16882.443872744127,11433.525043357113
74,2062.9228319141157,15585.16261821919
75,-19301.314966575126,11918.085853430664
76,-19412.744725278546,12208.745925141093
77,-849.6546193630672,7212.688472662386
78,-156.516941061765,6761.112719732664
79,-9662.543540218314,4307.306585560886
80,-4072.1781984276176,6559.2719831621935
81,-3029.256176718571,6333.371887833835
82,-15189.697356340857,9968.392863219127
83,857.118123847304,10387.976116637667
84,-14089.34118522771,8464.492839997503
85,-7431.166251933834,2181.6759432097897
86,-535.7162848927968,7939.944085589172
87,-2465.9367839707343,6187.974769346637
88,-431.43652939962254,7133.316096441333
89,2078.213979654834,7027.63484810121
90,-7644.422119522566,2052.6025891110544
91,-362.66081403020735,-691.8875041625689
92,-6463.787641707853,2545.262475102386
93,-2783.8248202731056,9435.124472407768
94,711.086935899811,488.62231156711204
95,2690.78632456757,15422.264855265626
96,2386.1613977309066,14891.244193723609
97,6287.0999310947445,21016.03830239061
98,-14060.641555209171,8663.008242228085
99,9590.2239582411,22897.084389338055
100,14626.6515702961,31791.926239390974
101,3157.9650638382263,-9352.183315877206
102,1611.1754351863935,8500.80327071457
103,-804.8383633342935,214.11819424801647
104,-5524.302564210483,9334.268404060997
105,3265.718945896404,13018.292575952406
106,-20596.235760097345,13253.234932207752
107,4224.09951890037,-10684.52149003771
108,-308.2029272698946,1655.0981304565735
