id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	plasma|plasma	plasma|T-gd	plasma|T-CD4	plasma|T-CD8	plasma|B	plasma|NK	plasma|MP-neutrophil	plasma|VEC-vascular	plasma|mast	plasma|MP-DC	T-gd|plasma	T-gd|T-gd	T-gd|T-CD4	T-gd|T-CD8	T-gd|B	T-gd|NK	T-gd|MP-neutrophil	T-gd|VEC-vascular	T-gd|mast	T-gd|MP-DC	T-CD4|plasma	T-CD4|T-gd	T-CD4|T-CD4	T-CD4|T-CD8	T-CD4|B	T-CD4|NK	T-CD4|MP-neutrophil	T-CD4|VEC-vascular	T-CD4|mast	T-CD4|MP-DC	T-CD8|plasma	T-CD8|T-gd	T-CD8|T-CD4	T-CD8|T-CD8	T-CD8|B	T-CD8|NK	T-CD8|MP-neutrophil	T-CD8|VEC-vascular	T-CD8|mast	T-CD8|MP-DC	B|plasma	B|T-gd	B|T-CD4	B|T-CD8	B|B	B|NK	B|MP-neutrophil	B|VEC-vascular	B|mast	B|MP-DC	NK|plasma	NK|T-gd	NK|T-CD4	NK|T-CD8	NK|B	NK|NK	NK|MP-neutrophil	NK|VEC-vascular	NK|mast	NK|MP-DC	MP-neutrophil|plasma	MP-neutrophil|T-gd	MP-neutrophil|T-CD4	MP-neutrophil|T-CD8	MP-neutrophil|B	MP-neutrophil|NK	MP-neutrophil|MP-neutrophil	MP-neutrophil|VEC-vascular	MP-neutrophil|mast	MP-neutrophil|MP-DC	VEC-vascular|plasma	VEC-vascular|T-gd	VEC-vascular|T-CD4	VEC-vascular|T-CD8	VEC-vascular|B	VEC-vascular|NK	VEC-vascular|MP-neutrophil	VEC-vascular|VEC-vascular	VEC-vascular|mast	VEC-vascular|MP-DC	mast|plasma	mast|T-gd	mast|T-CD4	mast|T-CD8	mast|B	mast|NK	mast|MP-neutrophil	mast|VEC-vascular	mast|mast	mast|MP-DC	MP-DC|plasma	MP-DC|T-gd	MP-DC|T-CD4	MP-DC|T-CD8	MP-DC|B	MP-DC|NK	MP-DC|MP-neutrophil	MP-DC|VEC-vascular	MP-DC|mast	MP-DC|MP-DC	VIC-transitional|VIC-transitional	VIC-transitional|VIC-IFN	VIC-transitional|VIC-remodelling	VIC-transitional|VIC-quiescent	VIC-IFN|VIC-transitional	VIC-IFN|VIC-IFN	VIC-IFN|VIC-remodelling	VIC-IFN|VIC-quiescent	VIC-remodelling|VIC-transitional	VIC-remodelling|VIC-IFN	VIC-remodelling|VIC-remodelling	VIC-remodelling|VIC-quiescent	VIC-quiescent|VIC-transitional	VIC-quiescent|VIC-IFN	VIC-quiescent|VIC-remodelling	VIC-quiescent|VIC-quiescent	VIC-transitional|VIC-osteogenic	VIC-transitional|VEC-endocardial	VIC-IFN|VIC-osteogenic	VIC-IFN|VEC-endocardial	VIC-remodelling|VIC-osteogenic	VIC-remodelling|VEC-endocardial	VIC-osteogenic|VIC-transitional	VIC-osteogenic|VIC-IFN	VIC-osteogenic|VIC-remodelling	VIC-osteogenic|VIC-osteogenic	VIC-osteogenic|VEC-endocardial	VEC-endocardial|VIC-transitional	VEC-endocardial|VIC-IFN	VEC-endocardial|VIC-remodelling	VEC-endocardial|VIC-osteogenic	VEC-endocardial|VEC-endocardial	VIC-interstitial|VIC-interstitial	VIC-interstitial|VIC-quiescent	VIC-quiescent|VIC-interstitial	MP-macro|MP-macro	MP-macro|MP-mono	MP-macro|VIC-osteogenic	MP-macro|MP-DC	MP-mono|MP-macro	MP-mono|MP-mono	MP-mono|VIC-osteogenic	MP-mono|MP-DC	VIC-osteogenic|MP-macro	VIC-osteogenic|MP-mono	VIC-osteogenic|MP-DC	MP-DC|MP-macro	MP-DC|MP-mono	MP-DC|VIC-osteogenic	VIC-SMC|VIC-SMC	VIC-SMC|VEC-vascular	VIC-SMC|cycling	VEC-vascular|VIC-SMC	VEC-vascular|cycling	cycling|VIC-SMC	cycling|VEC-vascular	cycling|cycling
CPI-SC0A460766C	LAMC1_integrin_a2b1_complex	simple:P11047	complex:integrin_a2b1_complex	LAMC1		True	False	False	curated	True	Ligand-Receptor	Adhesion by Laminin	0.223																																																																														0.616																							0.493	0.4	0.374	0.363	0.478	0.386	0.359	0.348	0.493	0.4	0.374	0.362	0.453	0.361	0.334	0.323	0.305	0.351		0.336	0.305	0.35	0.53	0.438	0.411	0.342	0.388	0.408	0.315				0.33	0.364	0.288															0.354	0.509		0.461				
CPI-SS00373B59C	LRRC4C_PTPRF	simple:Q9HCJ2	simple:P10586	LRRC4C	PTPRF	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	0.223																																																																																																					0.19	0.203	0.199	0.21	0.215	0.228	0.224	0.235	0.181	0.195	0.191	0.201	0.189	0.203	0.199	0.21	0.236	0.216	0.261	0.241	0.227	0.207	0.163	0.177	0.173	0.21	0.189	0.414	0.427	0.424	0.46	0.44	0.257	0.204	0.262																						
CPI-SS012F60F11	SEMA4D_PLXNB2	simple:Q92854	simple:O15031	SEMA4D	PLXNB2	False	True	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.223								0.179		0.182								0.462		0.466								0.326		0.329								0.338		0.341																		0.368		0.372								0.353		0.357																		0.286		0.289								0.194		0.197																												0.194	0.184	0.18	0.283	0.171				0.256	0.207	0.277	0.185	0.302	0.252	0.322	0.23				0.269	0.22	0.289						0.29	0.283	0.241
CPI-SC09B45FB39	FN1_integrin_aVb5_complex	simple:P02751	complex:integrin_aVb5_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.223																																																																																																					1.724	1.704	1.754	1.667	1.641	1.62	1.671	1.584	1.871	1.851	1.902	1.815	1.377	1.357	1.407	1.32	1.811	1.707	1.728	1.624	1.958	1.855	2.147	2.127	2.178	2.234	2.13				1.178		1.512	1.511	1.321									2.1		1.946				1.391		1.275					
CPI-SS0E90C46BC	ENTPD1_ADORA2A	simple:P49961	simple:P29274	ENTPD1	ADORA2A	False	False	True	curated	False	Ligand-Receptor	Signaling by Ectonucleoside	0.223	0.179	0.222		0.217	0.263					0.207	0.143	0.185		0.181	0.226					0.17																					0.126	0.169		0.164	0.21					0.154																					0.545	0.587		0.583	0.628					0.572											0.234	0.276		0.272	0.317					0.261																																					0.312		0.263		0.261		0.212		0.156	0.108		0.31				0.251		0.536			0.114
CPI-SC0943ECD6E	ICAM2_integrin_aLb2_complex	simple:P13598	complex:integrin_aLb2_complex	ICAM2		False	False	False	curated	True	Ligand-Receptor	Adhesion by ICAM	0.223		0.465	0.374	0.44		0.461				0.244												0.447	0.356	0.422		0.442				0.225		0.384	0.293	0.359		0.379						0.372	0.281	0.347		0.367						0.466	0.375	0.441		0.461				0.244												0.655	0.563	0.629		0.65				0.433												0.309	0.218	0.284		0.304																																																								0.185		0.528			0.23
CPI-SS0AE964947	GAS6_AXL	simple:Q14393	simple:P30530	GAS6	AXL	True	False	True	curated	False	Ligand-Receptor	Signaling by Growth arrest	0.229																																																																																0.514																					0.681	0.669	0.701	0.65	0.68	0.668	0.699	0.648	0.609	0.597	0.628	0.577	0.669	0.657	0.689	0.638	0.717		0.716		0.645		0.859	0.847	0.879	0.895		0.688	0.676	0.708	0.724		0.595	0.581	0.651			0.53						0.797		0.821				0.659			0.578				
CPI-SC06C3BA86F	FN1_integrin_a5b1_complex	simple:P02751	complex:integrin_a5b1_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.229																																																																																																					1.568	1.561	1.624	1.538	1.485	1.478	1.541	1.455	1.715	1.709	1.771	1.685	1.221	1.214	1.277	1.191	1.663	1.958	1.58	1.874	1.811	2.105	1.991	1.985	2.047	2.087	2.381					1.325	1.397	1.382	1.206									2.093	2.27	2.181					1.642	1.382					
CPI-SS00150FB64	HLA-F_LILRB1	simple:P30511	simple:Q8NHL6	HLA-F	LILRB1	True	False	True	curated	False	Ligand-Receptor	Signaling by HLA	0.229										0.317	0.592				0.632					0.679	0.515				0.555					0.602	0.601				0.641					0.688	0.397				0.437					0.484	0.579				0.619					0.666										0.345	0.487				0.527					0.574											0.319				0.358					0.406																																				0.378	0.469		0.316	0.503	0.593		0.44	0.342	0.433		0.468	0.558				0.32		0.515			0.419
CPI-CS0BE6576AD	Testosterone_byHSD17B12_AR	complex:Testosterone_byHSD17B12	simple:P10275		AR	True	False	True	curated	False	Ligand-Receptor	Signaling by Steroids	0.236																																																																																																					0.258	0.257	0.264	0.264	0.262	0.261	0.268	0.268	0.275	0.274	0.281	0.28	0.262	0.261	0.268	0.268	0.253	0.262	0.258	0.267	0.27	0.279	0.248	0.247	0.254	0.243	0.252	0.405	0.404	0.411	0.401	0.41	0.313	0.311	0.27															0.24			0.282				
